Anno,Mese,Cerchia,Incidenti,Morti,Feriti,month_start
2006,6,Entro la Cerchia dei Navigli,43,0,53,2006-06-01
2006,6,Senza indicazioni,62,0,79,2006-06-01
2006,7,Dalla Cerchia dei Navigli alle Mura Spagnole,78,0,109,2006-07-01
2006,7,Dalla Nuova Circonvallazione ai confini del Comune,794,10,1093,2006-07-01
2006,7,Dalle Mura Spagnole alla Nuova Circonvallazione,376,4,487,2006-07-01
2006,7,Entro la Cerchia dei Navigli,34,0,40,2006-07-01
2006,7,Senza indicazioni,60,0,74,2006-07-01
2006,8,Dalla Cerchia dei Navigli alle Mura Spagnole,40,0,47,2006-08-01
2006,8,Dalla Nuova Circonvallazione ai confini del Comune,428,2,628,2006-08-01
2006,8,Dalle Mura Spagnole alla Nuova Circonvallazione,170,3,249,2006-08-01
2006,8,Entro la Cerchia dei Navigli,15,0,16,2006-08-01
2006,8,Senza indicazioni,29,0,40,2006-08-01
2006,9,Dalla Cerchia dei Navigli alle Mura Spagnole,71,0,91,2006-09-01
2006,9,Dalla Nuova Circonvallazione ai confini del Comune,743,3,1027,2006-09-01
2006,9,Dalle Mura Spagnole alla Nuova Circonvallazione,360,1,464,2006-09-01
2006,9,Entro la Cerchia dei Navigli,39,0,47,2006-09-01
2006,9,Senza indicazioni,50,0,73,2006-09-01
2006,10,Dalla Cerchia dei Navigli alle Mura Spagnole,93,0,121,2006-10-01
2006,10,Dalla Nuova Circonvallazione ai confini del Comune,835,5,1129,2006-10-01
2006,10,Dalle Mura Spagnole alla Nuova Circonvallazione,441,2,550,2006-10-01
2006,10,Entro la Cerchia dei Navigli,40,1,47,2006-10-01
2006,10,Senza indicazioni,62,0,82,2006-10-01
2006,11,Dalla Cerchia dei Navigli alle Mura Spagnole,89,0,111,2006-11-01
2006,11,Dalla Nuova Circonvallazione ai confini del Comune,791,3,1098,2006-11-01
2006,11,Dalle Mura Spagnole alla Nuova Circonvallazione,435,1,585,2006-11-01
2006,11,Entro la Cerchia dei Navigli,53,0,65,2006-11-01
2006,11,Senza indicazioni,68,0,91,2006-11-01
2006,12,Dalla Cerchia dei Navigli alle Mura Spagnole,83,0,111,2006-12-01
2006,12,Dalla Nuova Circonvallazione ai confini del Comune,751,4,1014,2006-12-01
2006,12,Dalle Mura Spagnole alla Nuova Circonvallazione,348,3,470,2006-12-01
2006,12,Entro la Cerchia dei Navigli,27,0,32,2006-12-01
2006,12,Senza indicazioni,56,0,73,2006-12-01
2007,1,Dalla Cerchia dei Navigli alle Mura Spagnole,81,0,104,2007-01-01
