"data_giorno";"numero_transiti_giornalieri"
"2016-12-30";107341
"2016-12-29";112271
"2016-12-28";114856
"2016-12-27";113149
"2016-12-26";85751
"2016-12-25";84668
"2016-12-24";122526
"2016-12-23";161497
"2016-12-22";176072
"2016-12-21";180104
"2016-12-20";177200
"2016-12-19";170132
"2016-12-18";139896
"2016-12-17";168622
"2016-12-16";188553
"2016-12-15";181800
"2016-12-14";177271
"2016-12-13";178189
"2016-12-12";162842
"2016-12-11";112953
"2016-12-10";124076
"2016-12-09";118271
"2016-12-08";112806
"2016-12-07";121354
"2016-12-06";168642
"2016-12-05";159814
"2016-12-04";133269
"2016-12-03";159125
"2016-12-02";175085
"2016-12-01";177084
"2016-11-30";170770
"2016-11-29";170931
"2016-11-28";158735
"2016-11-27";131739
"2016-11-26";166496
"2016-11-25";171010
"2016-11-24";172540
"2016-11-23";164604
"2016-11-22";162766
"2016-11-21";155056
"2016-11-20";126742
"2016-11-19";160816
"2016-11-18";173137
"2016-11-17";173416
"2016-11-16";169411
"2016-11-15";169288
"2016-11-14";158604
"2016-11-13";128743
"2016-11-12";163112
"2016-11-11";177700
"2016-11-10";176798
"2016-11-09";172409
"2016-11-08";171114
"2016-11-07";160230
"2016-11-06";119788
"2016-11-05";152276
"2016-11-04";174951
"2016-11-03";169147
"2016-11-02";156413
"2016-11-01";110087
"2016-10-31";113312
"2016-10-30";103049
"2016-10-29";135719
"2016-10-28";171253
"2016-10-27";175865
"2016-10-26";170327
"2016-10-25";161735
"2016-10-24";155994
"2016-10-23";121836
"2016-10-22";160738
"2016-10-21";192879
"2016-10-20";177117
"2016-10-19";172127
"2016-10-18";168761
"2016-10-17";160092
"2016-10-16";129160
"2016-10-15";155129
"2016-10-14";164042
"2016-10-13";172821
"2016-10-12";175023
"2016-10-11";170363
"2016-10-10";159589
"2016-10-09";123834
"2016-10-08";158246
"2016-10-07";178587
"2016-10-06";180914
"2016-10-05";175443
"2016-10-04";173074
"2016-10-03";160940
"2016-10-02";124762
"2016-10-01";155250
"2016-09-30";181654
"2016-09-29";178683
"2016-09-28";176469
"2016-09-27";175685
"2016-09-26";168548
"2016-09-25";137521
"2016-09-24";166195
"2016-09-23";188674
"2016-09-22";192986
"2016-09-21";180686
"2016-09-20";188137
"2016-09-19";170083
"2016-09-18";127240
"2016-09-17";156573
"2016-09-16";175997
"2016-09-15";172751
"2016-09-14";176067
"2016-09-13";172888
"2016-09-12";163587
"2016-09-11";112955
"2016-09-10";137854
"2016-09-09";166817
"2016-09-08";174393
"2016-09-07";168994
"2016-09-06";166884
"2016-09-05";155409
"2016-09-04";111350
"2016-09-03";130586
"2016-09-02";145470
"2016-09-01";146710
